DATE,ABB,ACC,ADANIENT,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJAUTO,BAJAJFINSV,BAJFINANCE,BANKBARODA,BEL,BHARTIARTL,BHEL,BOSCHLTD,BPCL,BRITANNIA,CAIRN,CIPLA,COALINDIA,DIVISLAB,DLF,DRREDDY,EICHERMOT,ETERNAL,GAIL,GLAXO,GRASIM,HCLTECH,HDFC,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,IBULHSGFIN,ICICIBANK,IDEA,IDFC,INDUSINDBK,INFRATEL,INFY,IOC,ITC,JINDALSTEL,JIOFIN,JPASSOCIAT,JSWSTEEL,KOTAKBANK,LT,LTIM,LUPIN,M&M,MARUTI,MCDOWELL-N,NATIONALUM,NESTLEIND,NMDC,NTPC,ONGC,PNB,POWERGRID,RANBAXY,RCOM,RELCAPITAL,RELIANCE,RELINFRA,RPL,RPOWER,SAIL,SATYAMCOMP,SBILIFE,SBIN,SESAGOA,SHREECEM,SHRIRAMFIN,SIEMENS,STER,SUNPHARMA,SUZLON,TATACOMM,TATACONSUM,TATAMOTORS,TATAPOWER,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,UNITECH,UPL,VEDL,VSNL,WIPRO,YESBANK,ZEEL
2008-01-31,0.79992,0.48995,0,0,0.61994,0,0,0,0,0.79992,0,0,0,0,5.48945,3.39966,0,0.43996,0,1.16988,0.49995,0,0,0,0.29997,0,0,1.15988,0.22998,0.90991,0.53995,2.70973,1.86981,0,0.46995,0.67993,0,1.52985,0,4.28957,1.09989,0,0,0,2.88971,0,2.47975,0,0,0,0,0,3.58964,0,0,0.54995,0.82992,0,0.94991,0,0,5.44946,7.12929,0.68993,0,0.43996,4.16958,0,12.14877,1.57984,2.40976,0,2.9897,0.88991,0,4.60954,0,0,0,0.94991,1.77982,0.76992,1.55984,0,0,0.90991,0.93991,1.81982,2.87971,0,0,0,0,2.09979,0,0,0.49995,2.07979,0,0.41996
2008-02-29,0.81008,0.50005,0,0,0.61006,0,0,0,0,0.77008,0,0,0,0,5.20052,3.71037,0,0.56006,0,1.35014,0.53005,0,0,0,0.33003,0,0,1.19012,0.31004,0.88009,0.61006,2.63026,1.71017,0,0.50005,0.82008,0,1.64016,0,4.0104,0.9601,0,0,0,2.93029,0,2.53025,0,0,0,0,0,3.41034,0,0,0.56006,0.83008,0,0.9901,0,0,5.52055,7.21072,0.63006,0,0.55006,3.93039,0,11.87119,1.23012,2.62026,0,3.48035,0.9701,0,4.42044,0,0,0,0.91009,1.9602,0.82008,1.40014,0,0,0.48005,0.89009,1.0201,1.94019,0,0,0,0,2.85029,0,0,1.94019,2.12021,0,0.35004
2008-04-01,0.88035,0.54022,0,0,0.65026,0,0,0,0,0,0,0,0,0,5.5022,3.54142,0,0.52021,0,1.40056,0.60024,0,0,3.86154,0.35014,0,0,1.2605,0,0.83033,0.59024,2.37095,1.66066,0,0.4902,0.71028,0,1.7507,0,3.0012,0.95038,0,0,0,2.89116,0,2.73109,0,0,0,0,0,3.11124,0,0,0.60024,0.84034,0,1.02041,0,0,5.69228,7.36295,0.56022,1.45058,0.57023,3.69148,0,11.56461,1.04042,2.47099,0,2.69108,0.93037,0,3.55142,0,0,0,0.73029,1.78071,0.89036,1.39056,0.5102,0,0.84034,0.90036,1.78071,2.78111,0,0,0,0,1.57063,0,0,0,2.22089,0,0.37015
2008-04-30,0.77969,0.45982,0,0,0.55978,0,0,0,0,0,0,0,0,0,5.47781,2.9988,0,0.47981,0,1.41943,0.52979,0,0,3.86845,0.33986,0,0,1.19952,0,0.70972,0.61975,2.55898,1.7393,0,0.54978,0.76969,0,1.7493,0,3.14874,0.88964,0,0,0,3.22871,0,2.66893,0,0,0,0,0,2.81887,0,0,0.52979,0.68972,0,0.92963,0,0,5.21791,7.10716,0.55978,1.42943,0.57977,3.83846,0,12.22511,1.08956,2.90884,0,2.45902,1.03958,0,3.59856,0,0,0,0.61975,1.96921,0.95962,1.37945,0.45982,0,0.81967,0.9896,1.91923,2.89884,0,0,0,0,1.61935,0,0,0,2.29908,0,0.29989
2008-05-31,0.74022,0.42013,0,0,0.49015,0,0,0,0,0,0,0,0,0,5.6717,2.77083,0,0.44013,0,1.85056,0.56017,0,0,3.41102,0.41012,0,0,1.15035,0,0.69021,0.71021,2.49075,1.6505,0,0.51015,0.80024,0,1.76053,0,2.9909,0.98029,0,0,0,3.83115,0,2.80084,0,0,0,0,0,2.97089,0,0,0.49015,0.75023,0,1.18035,0,0,4.84145,6.31189,0.52016,1.41042,0.6702,4.06122,0,11.91356,0.98029,2.6808,0,2.28068,1.20036,0,3.13094,0,0,0,0.64019,2.26068,0.9903,1.42043,0.49015,0,0.76023,1.02031,2.25068,3.47104,0,0,0,0,1.29039,0,0,0,2.54076,0,0.3401
2008-06-30,0.70014,0.41008,0,0,0.4801,0,0,0,0,0,0,0,0,0,5.62112,2.77055,0,0.33007,0,2.14043,0.67013,0,0,2.78056,0.46009,0,0,1.16023,0,0.70014,0.69014,2.29046,1.47029,0,0.57011,0.72014,0,1.85037,0,2.88058,1.0102,0,0,0,4.08082,0,2.91058,0,0,0,0,0,2.62052,0,0,0.4901,0.73015,0,0.93019,0,0,5.15103,7.16143,0.4801,1.36027,0.80016,3.75075,0,12.5125,0.75015,3.15063,0,2.37047,1.21024,0,2.90058,0,0,0,0.53011,2.03041,1.19024,1.33027,0.44009,0,0.67013,0.96019,2.19044,3.45069,0,0,0,0,1.14023,0,0,0,2.64053,0,0.36007
2008-07-31,0.61988,0.41992,0,0,0.46991,0,0,0,0,0,0,0,0,0,5.78884,3.14937,0,0.44991,0,1.74965,0.64987,0,0,3.32933,0.36993,0,0,1.20976,0,0.62987,0.5099,2.46951,1.77964,0,0.60988,0.65987,0,1.9896,0,2.70946,0.88982,0,0,0,3.45931,0,2.68946,0,0,0,0,0,2.90942,0,0,0.4899,0.63987,0,1.04979,0,0,5.36893,8.13837,0.53989,1.5197,0.70986,3.94921,0,12.25753,0.85983,2.82943,0,2.21956,0.9798,0,3.43931,0,0,0,0.70986,1.71966,1.11978,1.27974,0.4899,0,0.58988,0.9798,1.82963,3.11938,0,0,0,0,1.0198,0,0,0,2.31954,0,0.31994
2008-08-31,0.70021,0.40012,0,0,0.46014,0,0,0,0,0,0,0,0,0,6.02181,3.17095,0,0.41012,0,1.78053,0.71021,0,0,3.18095,0.37011,0,0,1.27038,0,0.6702,0.59018,2.52076,2.06062,0,0.63019,0.81024,0,2.03061,0,2.83085,0.82025,0,0,0,3.79114,0,2.69081,0,0,0,0,0,2.87086,0,0,0.54016,0.71021,0,0.94028,0,0,5.46164,8.29249,0.57017,1.48044,0.74022,3.09093,0,11.77353,0.87026,2.6808,0,2.44073,1.07032,0,3.38101,0,0,0,0.70021,1.6805,1.16035,1.24037,0.45014,0,0.64019,0.88026,1.6605,3.0109,0,0,0,0,0.98029,0,0,0,2.40072,0,0.36014
2008-10-01,0.69993,0.47995,0,0,0.49995,0,0,0,0,0,0,0,0,0,6.18938,3.23968,0,0.53995,0,1.66983,0.73993,0,0,2.49975,0,0,0,1.43986,0,0.63994,0.53995,2.52975,2.16978,0,0.71993,0.71993,0,2.27977,0,2.47975,0.9699,0,0,0,3.32967,0,2.94971,0,0,0,0,0,2.9697,0,0,0.51995,0.82992,0,0.9899,0,0,5.88941,9.18908,0.61994,1.49985,0.37996,2.85971,0,11.77881,0.75992,2.67973,1.52985,2.18978,0.82992,0,3.85961,0,0,0,0.55994,1.25987,1.27987,0.94991,0.55994,0,0.63994,0.82992,1.29987,2.70973,0,0,0,0,0.78992,0,0,0,2.06979,0,0.34997
2008-10-31,0.65013,0.5201,0,0,0.5201,0,0,0,0,0,0,0,0,0,6.95139,3.54071,0,0.58012,0,1.37027,0.77015,0,0,2.10042,0,0,0,1.5203,0,0.53011,0.65013,2.81056,2.43049,0,0.83017,0.58012,0,2.71054,0,2.4805,0.74015,0,0,0,4.45089,0,3.28066,0,0,0,0,0,2.64053,0,0,0.54011,0.91018,0,0.57011,0,0,6.5113,8.0116,0.74015,1.65033,0.35007,2.54051,0,12.12242,0.59012,2.18044,1.37027,1.96039,1.15023,0,3.94079,0,0,0,0.5001,1.13023,1.30026,0.37007,0.77015,0,0.43009,0.85017,0.86017,2.95059,0,0,0,0,0.44009,0,0,0,2.23045,0,0.37007
